D,Unit Name,Plus Ultra,Action Skill 1,Action Skill 2,Auto Skill 1,Auto Skill 2,Tags,Stats
,"Skill (ABL)
[Inherited Power]
All Might

Event","TEXAS SMASH
Inflict 500% damage to one enemy, deal an additional 40% damage if enemy has a Crit Rate debuff","OKLAHOMA SMASH
(CD: 5 Turns)
Inflict 250% damage to one enemy, deal an additional 40% damage if enemy has a SPD debuff","CAROLINA SMASH
(CD: 4 Turns)
Inflict 250% damage to one enemy, deal an additional 40% damage if enemy has an ATK debuff","Remaining Embers
While HP is 50% or more, Skill (ABL)s deal an additional 30% damage, -3% ATK & SPD every turn (up to 30%)
","American Appearance
While HP is 50% or less, fill Plus Ultra Gauge by 40%
","U.A. Teacher
Hero
Pro Hero
Male","HP - 24,560
ATK - 5,139
SPD - 353
Crit Rate - 10"
,"Destruction (DST)
[Amped Up]
Present Mic","Echo Voice (Plus Ultra)

Inflict 500% damage to one enemy; Medium chance of Confusing enemy for 2 turns","Echo Voice

Inflict 200% damage to all enemies; Fill PU Gauge by 15% if used last in a Skill CHAIN
(4 Turn CD)","EVERYBODY SAY HEEEY!!

All allies +30% ATK for 3 turns
(4 Turn CD)","Flashy Show

Fill all allies PU Gauge by 25% (excluding character)","Energetic to the Max

While HP is below 50%, gain Aura for 3 turns; +30% ATK for 3 turns","U.A. Teacher
Hero
Pro Hero
Male","HP - 22,533
ATK - 5,370
SPD - 319
Crit Rate - 10"
,"Power (STR)
[Red Hot Spirit]
Endeavor","Flame Knuckle (Plus Ultra)
Inflict 500% damage to one enemy; medium chance to Burn enemy for 3 turns, While HP is Above 80%, increase skill damage by +30%.","Flame Burst
(CD: 5 Turns)
Inflict 200% damage to all enemies, low chance to Burn enemies for 3 turns. While HP is Above 80%, increase skill damage by +30%.","Flame Knuckle
(CD: 4 Turns)
Inflict 250% damage to one enemy, medium chance to Burn for 3 turns.","Need to be No. 1
While HP is Above 50%, +30% ATK.","Superheated
While HP is Above 80%, Increase skill damage by +40%; Burn the enemy that attacked this unit for 3 turns. ","Hero
Pro Hero
Male","HP - 21,820
ATK - 5,578
SPD - 332
Crit Rate - 10"
,"Faith (MND)
[Roaring Flames]
Endeavor

Event","Flame Burst (Plus Ultra)
Inflict 500% damage to one enemy, low chance to Burn enemy for 3 turns. Reduce enemy Crit Rate by 25% for 3 turns.","Prominence Burn
(CD: 6 Turns)
Inflict 250% damage to one enemy, medium chance to Burn enemy for 3 turns. Skill (ABL) deals an additional 40% damage if enemy has a SPD debuff.
","Heavy Flame
(4 Turn CD)
Reduce enemy Crit Rate and SPD by 25% for 3 turns","Raging Flames
While HP is more than 50%, Skill (ABL)s deal an additional 35% damage
","Take a chance!
All ""1.A Student"" allies +25% SPD
","Hero
Pro Hero
Male","HP - 23,218
ATK - 5,223
SPD - 338
Crit Rate - 10"
,"Knowledge (INT)
[Veteran Speed]
Gran Torino","Jet Speed (Plus Ultra)
Inflict 450% damage to one enemy; deal additional damage based on SPD","Jet Speed
(CD: 3 Turns)
Inflict 250% damage to one enemy; deal additional damage based on SPD
","Free Flying
(CD: 4 Turns)
While HP is Above 80%, +30% SPD, +15% Crit Rate for 3 turns","Expert Hero
While HP is Above 50%,+15% Crit Rate.","Propulsion
While HP is Above 80%, +30% SPD
","Hero
Pro Hero
Male","HP - 21,448
ATK - 5,381
SPD - 337
Crit Rate - 15"
,"Faith (MND)
[A Bit Too Fast]
Hawks","Rigid Wing (Plus Ultra)
Inflict 450% damage to one enemy; Damage based on SPD","Covert Feathers 
(CD: 5 Turns)
+30% Damage Cut for all allies for 2 turns; Gain Evasion for 1 hit.","Fierce Wings: Buckshot
(CD: 5 Turns)
Inflict 200% damage to all enemies; +15% SPD for all allies for 3 turns","Versatility
At the start of each WAVE, +30% SPD and Gain Heavy for 3 turns.","Wishful Tranquility
Pro Hero allies +25% ATK (exclude self)
","Hero
Pro Hero
Male","HP - 21,265
ATK - 5,542
SPD - 347
Crit Rate - 15"
,"Destruction (DST)
[Cut Through Wind]
Hawks","Fierce Wings: Buckshot (Plus Ultra)
Inflict 400% damage to one enemy; Skill Damage increase based on SPD; reduce Action Skill Cooldown by 2","Fierce WIngs: Pursuit
(CD: 5 Turns)
Inflict 250% damage to one enemy; gain Double Tap for 3 turns","Wing Assist 
(CD: 4 Turns)
Fill ally PU Gauge by 30%; +30% ally PU Damage for 3 turns","Two-Faced Mask
League of Villians allies +25% ATK ","I Want to be Free
While HP is below 50%, all allies gain Evasion For 1 hit (once only); fill PU Gauge by 30% (once only)","Hero
Pro Hero
Male","HP - 24,480
ATK - 4,864
SPD - 360
Crit Rate - 15"
,"Knowledge (INT) 
[Predicted Future]
Sir Nighteye

Event","High Density Stamps
Inflict 450% damage to one enemy; If enemy has a SPD DOWN, +30% Skill Damage","Vision Counter
(CD: 6 Turrns)
+30% Crit Rate; Counter Normal Attacks for 3 turns","High Density Stamps
(CD: 5 Turns)
Inflict 250% damage to one enemy; Enemy -30% Crit Rate for 3 turns","Foresight and Analysis 
While HP is 50% or less, gain Evasion for 1 hit; If there is a ""Pro Hero"" unit on the team, +25% Critical Damage","Predicted Counterattack
At the start of battle, enemy -20% SPD (4 turns)","Hero
Pro Hero
Male","HP - 23,254
ATK - 5,094
SPD - 329
Crit Rate - 20"
,"Faith (MND)
[Pro Sinker]
Fat Gum","Fat Press
Inflict 450% damage to one enemy; medium chance to Restraint enemy for 1 turn","Fat Attack
(CD: 4 turns)
Inflict 250% damage to one enemy; low chance to Restraint enemy for 1 turn; medium chance if used in a successful CHAIN","Gluttony
 (CD: 5 turns)
+30% HP; Taunt enemies for 2 turns","Fat Absorption
When Taunt is active on character; 35% Damage cut","That Was a Good Pike!
+5% ATK for every damage taken (max 50%)","Hero
Pro Hero
Male","HP - 23,959
ATK - 5,100
SPD - 317
Crit Rate - 10"
,"Skill (ABL)
[Hellfire of Ruin]
Dabi","Blue Purge (Plus Ultra)

Inflict 500% damage to one enemy; High chance to Burn enemy and character for 3 turns","Blue Judgement

Inflict 300% damage to one enemy; Medium chance to Burn enemy and character for 3 turns
(3 Turn CD)","Fuel for My Fire

Cleanse 1 status ailment from character; Fill PU Gauge by 30%
(5 Turn CD)","The Hero Killer's Will

At the start of each WAVE, +25% Crit Rate for 3 turns","Take Them Down

+35% ATK while Burn is active on character","League of Villains
Villain
Male","HP - 21,884
ATK - 5,494
SPD - 324
Crit Rate - 10"
,"Knowledge (INT)
[Blue Flames]
Dabi","Blue Judgment (Plus Ultra)

Inflict 500% damage to one enemy; +40% Skill Damage if enemy is a Pro Hero; Medium chance to Burn enemy for 3 turns","Blue Corruption 

Inflict 250% damage to all enemies; Medium chance to Burn all enemies for 3 turns; High chance to Burn character for 3 turns
(5 Turn CD)","Blue Purge 

Inflict 200% damage to all enemies; Low chance to Burn enemies for 3 turns
(4 Turn CD)","Flames That Burn Me

+45% Skill Damage while Burn is active on character","Peerless Cruelty

While HP is Above 50%, +30% Skill Damage; While HP is below 50%, reduce character Action Skill Cooldown by 2 (Once only) ","League of Villains
Villain
Male","HP - 22,601
ATK - 5,356
SPD - 319
Crit Rate - 10"
,"Skill (ABL)
[Glint of a Knife]
Himiko Toga","Let Me stab you! (Plus Ultra)
Inflict 450% damage to one enemy; medium chance to make enemy Bleed for 3 turns","Here's Your Shot!
(CD: 4 Turns)
Inflict 250% damage to one enemy; reduce enemy DEF by 15% for 3 turns","Love Gossip
(CD: 4 Turns)
+40% SPD for 3 turns; +30% Crit Rate for 3 turns","Bizarre Thoughts
While HP is below 50%, +10% Crit Rate; +35% SPD for each enemy you defeat","Maiden of Fresh Blood 
When dealing Crit damage; +35% Skill Damage for 3 turns
","League of Villains
Villain
Female","HP - 21,205
ATK - 5,521
SPD - 332
Crit Rate - 15"
,"Knowledge (INT)
[Serving Darkness]
Kurogiri","Warp Gate (Plus Ultra)
Inflicts 450% damage to one enemy; Gain Evasion for 1 hit","Warp Gate
(CD: 4 Turns)
Inflicts 250% damage to one enemy; Gain Evasion for 1 hit","Forced Warp Gate
(CD: 6 Turns)
Reduce Action Skill Cooldown of one ally by 2 turns; When used in a CHAIN and it succeeds; reduce enemy SPD by 10% for 3 turns","League of Villains Officer 
League of Villains allies +20% Max HP","Transfer
When Evasion is active on character; +25% SPD
","League of Villains
Villain
Male","HP - 22,879
ATK - 5,003
SPD - 329
Crit Rate - 15"
,"Power (STR)
[Rising Rebellion]
Muscular","Spill Your Blood For me! (Plus Ultra)

Inflict 350% damage to one enemy; Low chance to make enemy Bleed for 3 turns; +40% ATK for 3 turns","I'll Crush You!

Inflict 250% damage to one enemy; +35% ATK for 3 turns
(4 Turn CD)","Let's have some fun

Taunt enemies for 2 turns; Gain 30% Damage Cut for 2 turns
(4 Turn CD)","Battle Mania

Gain Barrier for 2 attacks; +7% Crit Rate (up to 35%) if character takes Critical Damage","Bloodthirsty

+7% ATK every time character recieves attack (up to 35%)","League of Villains
Villain
Male","HP - 22,140
ATK - 5,612
SPD - 318
Crit Rate - 10"
,"Destruction (DST)
[Righteous Society]
Stain","Purging Blade (Plus Ultra)

Inflict 500% damage to one enemy; Low chance to make enemy Bleed for 3 turns; Low chance to cause enemy Fear for 2 turns","Purge the Fakes

Inflict 250% damage to one enemy; Low chance to Bind enemy for 1 turn
(3 Turn CD)","All For A Just Society

+40% ATK for 3 turns; +30% Crit Rate for 3 turns
(5 Turn CD)","Hero Killer

+20% ATK for 3 turns if character deals Critical Damage","Distorted Justice
While HP is below 50%, +30% Crit Rate for 3 turns","League of Villains
Villain
Male","HP - 21,205
ATK - 5,591
SPD - 332
Crit Rate - 15"
,"Destruction (DST)
[Resolution]
Twice","The Terror of Twice (Plus Ultra)
Inflict 300% damage to one enemy; +100% Skill Damage if enemy has an ATK debuff; gain 1 hit Barrier","Measuring Tape Whip 
(CD: 4 Turns)
Inflict 250% damage to one enemy; enemy -25% ATK for 3 turns","The Terror of Twice
(CD: 4 Turns)
Inflict 200% damage to one enemy; medium chance to increase Skill Damage by 100%","A Splitting Image
All Destruction (DST) allies +20% HP","Time to Kill
All League of Villains allies +25% SPD","League of Villains
Villain
Male","HP - 23,182
ATK - 5,076
SPD - 329
Crit Rate - 10"
,"Power (STR)
[Leader of the Meta Liberation Army]
Re-Destro

Event","Load Mass (Plus Ultra)
Inflict 500% damage to one enemy; Skill (ABL)s deal an additional 40% damage if inflicted with a Crit Rate Debuff; Skill (ABL)s deal an additional 40% damage if inflicted with a SPD debuff ","Heavy Pressure 
(CD: 4 Turns)
Inflict 350% damage to one enemy; -15% SPD for 3 turns and -15% Crit Rate for 3 turns to self","Stress Output 
(CD: 5 Turns)
Removes 2 Debuffs from self; +35% ATK for 3 turns","Liberation Thought
+25% ATK for ""Villians"", Excluding Self","Those who Inherit the Will
+50% ATK when an Ally dies ","Villain
Male","HP - 23,145
ATK - 5,417
SPD - 309
Crit Rate - 10"
,"Skill (ABL) 
[Onset of Decay] 
Tomura Shigaraki","Crushed Up (Plus Ultra)

Inflict 500% damage to one enemy; Medium chance of applying Fear to enemy for 2 turns, High chance if enemy is Power (STR)","Collapse

Inflict 250% damage to one enemy; Low chance of applying Fear to enemy for 2 turns, Medium chance if enemy is Power (STR)
(5 Turn CD)","Game Over

Enemy -25% DEF & -30% Crit Rate for 3 turns
(5 Turn CD)","Symbol of Fear

League of Villain allies +20% Crit Rate","Inexhaustible Rage

When HP is below 50%, fill PU Gauge by 50% (Once only)","League of Villains
Villain
Male","HP - 22,499
ATK - 5,409
SPD - 319
Crit Rate - 10"
